index,query,tier1,primaryIntent,consumer_or_creator,key_categories,curify_relevance,curify_gap_or_opportunity,short_reason
1,单词,Education & Vocabulary,consumer,consumer,"vocabulary card, word list, bilingual chart",Low,Weak Curify fit / mostly consumer search,Bare CJK noun; users browse vocab imagery. Curify returns results but query is primarily visual consumption.
2,卡通,Character & IP & Pop Culture,consumer,consumer,"cartoon character, anime style, kawaii, IP illustration",Medium,Need visual diversity expansion,Character browse query. Curify has IP content but could deepen anime/cartoon sub-routing.
3,吉伊卡哇,Character & IP & Pop Culture,consumer,consumer,"Chiikawa fan art, merchandise, character sticker",Medium,Already covered reasonably,Specific IP fandom. Curify returns full-10; monitor for template variety regression.
4,家居装饰,Food & Lifestyle,consumer,consumer,"home decor, interior design, room makeover",Low,Weak Curify fit / mostly consumer search,Home decor inspiration browse. Low creator actionability for Curify's template focus.
5,工程,Science & Reference,consumer,consumer,"engineering diagram, blueprint, mechanical drawing",Low,Need topic/category expansion,Technical reference imagery. Curify returns 9 results (P2); tokenization or alias gap.
6,植物,Food & Lifestyle,consumer,consumer,"plant species, botanical illustration, leaf identification",Low,Weak Curify fit / mostly consumer search,Botanical browse. Consumer-only demand; low template production intent.
7,水果中文,Education & Vocabulary,creative,creator,"bilingual fruit card, Chinese-English flashcard, printable",High,Already covered reasonably,Explicit bilingual printable intent. Curify returns full-10; strong educational template fit.
8,电商详情图,Design & Visual Style,creative,creator,"product detail page, e-commerce banner, layout template",High,Need better template routing,"Explicit design/production intent (P1, 4 results). Curify has some merch templates but needs dedicated e-commerce detail page routes."
9,自行车,Food & Lifestyle,consumer,consumer,"bicycle photo, cycling lifestyle, bike diagram",Low,Weak Curify fit / mostly consumer search,Lifestyle browse. Very low template production intent.
10,葡萄酒,Food & Lifestyle,consumer,consumer,"wine photography, bottle label, lifestyle aesthetic",Low,Weak Curify fit / mostly consumer search,Aesthetic/lifestyle browse. Curify returns full-10 but content is generic lifestyle.
11,蔬菜,Food & Lifestyle,consumer,consumer,"vegetable photo, botanical, cooking ingredient",Low,Weak Curify fit / mostly consumer search,Visual browse of vegetable imagery. Consumer demand; limited creator actionability.
12,词汇,Education & Vocabulary,creative,mixed,"vocabulary poster, word list printable, educational card",High,Already covered reasonably,Vocabulary — commonly sought as printable/poster. Curify full-10; strong educational template match.
13,趣味经济学知识科普,Science & Reference,creative,creator,"economics infographic, science-pop poster, knowledge card",High,Need content generation,"Creator intent for knowledge infographic (P1, 6 results). External platforms show rich science-pop content; Curify needs dedicated infographic templates."
14,音乐,Food & Lifestyle,consumer,consumer,"music aesthetic, album art, instrument photo",Low,Weak Curify fit / mostly consumer search,Aesthetic browse. Consumer demand only; not a template creation trigger.
15,食物,Food & Lifestyle,consumer,consumer,"food photo, dish aesthetic, food styling",Low,Weak Curify fit / mostly consumer search,General food imagery browse. Curify full-10 but content is general; no actionable template routing.
16,香薰,Food & Lifestyle,consumer,consumer,"aromatherapy, candle lifestyle, wellness product",Low,Weak Curify fit / mostly consumer search,Product lifestyle browse. Very low creator actionability.
17,唯美春天,Food & Lifestyle,consumer,consumer,"spring aesthetic, flower photography, pastel nature",Low,Weak Curify fit / mostly consumer search,Aesthetic mood browse. Consumer only; limited Curify template fit.
18,证件照,Design & Visual Style,creative,creator,"ID photo, passport portrait, headshot template",High,Need better template routing,"Portrait creation intent (P1, 6 results). Curify has portrait templates but routing to ID-photo specific templates needs improvement."
19,手作,How-to & Craft,creative,creator,"handcraft tutorial, DIY project, craft how-to visual",High,Already covered reasonably,DIY craft creation intent. Curify returns full-10; strong how-to template fit.
20,historical character,Character & IP & Pop Culture,consumer,consumer,"historical figure portrait, period costume, classical illustration",Medium,Need topic/category expansion,"Historical character browse (P1, 5 results). Curify has character content but historical sub-category routing is thin."
21,future characters,Character & IP & Pop Culture,consumer,consumer,"sci-fi character, futuristic design, concept art",Medium,Already covered reasonably,Character concept browse. Curify returns full-10; future/sci-fi character templates covered.
22,homophones and homonyms,Education & Vocabulary,creative,creator,"homophones chart, homonyms worksheet, language poster",High,Need better template routing,"Educational language content (P1, 4 results). Canva has dedicated worksheet templates; Curify needs homophone/grammar-specific routing."
23,english-chinese,Education & Vocabulary,creative,creator,"bilingual flashcard, English-Chinese word card, vocabulary chart",High,Already covered reasonably,Bilingual educational material. Curify returns full-10 with 35 intent labels; strong routing.
24,language learning expressions,Education & Vocabulary,creative,creator,"phrase card, expression chart, language learning poster",High,Already covered reasonably,Language expression learning content. Curify returns full-10; good educational template coverage.
25,global influence,Travel & Place & Culture,consumer,consumer,"world culture map, international influence, cultural reference",Low,Need topic/category expansion,"Cultural reference browse (P2, 8 results). Content may exist; tokenization gap likely."
26,remote destination,Travel & Place & Culture,consumer,consumer,"remote travel, off-grid destination, adventure landscape",Low,Weak Curify fit / mostly consumer search,Travel inspiration browse. Consumer demand; Curify returns full-10 but templates are generic.
27,unique cultural experiences,Travel & Place & Culture,consumer,consumer,"cultural festival, local tradition, travel experience",Medium,Need content generation,P0 content gap — zero Curify results. All external platforms return rich results. Curify needs travel/culture experience templates.
28,short city escapes,Travel & Place & Culture,consumer,consumer,"weekend city trip, urban getaway, city itinerary",Low,Already covered reasonably,City travel browse. Curify returns full-10; adequate coverage for a consumer browse query.
29,creative comfort food,Food & Lifestyle,consumer,mixed,"comfort food recipe, cozy dish, food aesthetic",Medium,Need creator-intent detection,Mixed intent — browse + possible recipe visual. Curify returns full-10; could improve by surfacing recipe card templates.
30,mbti marvel,Character & IP & Pop Culture,creative,mixed,"MBTI Marvel character chart, personality type superhero grid",High,Need better template routing,"MBTI × Marvel chart creation (P1, 5 results). Curify has MBTI and Marvel content but combined query routing needs improvement."
31,spring flowers,Food & Lifestyle,consumer,consumer,"spring bloom, floral arrangement, flower photography",Low,Weak Curify fit / mostly consumer search,Seasonal floral browse. Curify returns full-10; low creator actionability.
32,反义词,Education & Vocabulary,creative,creator,"antonym poster, opposite words chart, vocabulary card",High,Need topic/category expansion,"Educational poster creation (P2, 9 results). Curify close to full-10; topic alias or slug expansion likely needed."
33,paper cutting,How-to & Craft,creative,creator,"paper art, kirigami template, craft cutting pattern",High,Need topic/category expansion,"Craft creation intent (P2, 9 results). Curify nearly full-10; better paper-craft topic routing could improve ranking."
34,met gala,Character & IP & Pop Culture,consumer,consumer,"Met Gala fashion, red carpet, celebrity outfit, designer look",Low,Weak Curify fit / mostly consumer search,Celebrity fashion browse. Curify returns full-10; mostly consumer visual demand.
35,动物 词汇,Education & Vocabulary,creative,creator,"animal vocabulary card, bilingual animal poster, kids flashcard",High,Already covered reasonably,Bilingual animal vocabulary printable. Curify full-10; strong educational template fit.
36,wedding planner,How-to & Craft,creative,creator,"wedding checklist, timeline visual, invitation design",High,Need better template routing,"Wedding planning template creation (P1, 7 results). Curify has wedding content but query needs more specific checklist/timeline routing."
37,minimalist autumn outfit for japan travel,Food & Lifestyle,consumer,mixed,"autumn fashion outfit, travel style, minimalist wardrobe",Low,Need creator-intent detection,Long-tail lifestyle + travel query. Curify returns full-10; could surface outfit lookbook templates.
38,infj vs entp dating compatibility chart,Character & IP & Pop Culture,creative,creator,"MBTI compatibility chart, personality dating, relationship grid",High,Already covered reasonably,MBTI chart creation. Curify returns full-10; strong MBTI template coverage.
39,cuban sandwich recipe poster,Template / Printable / Worksheet,creative,creator,"recipe poster, sandwich infographic, food poster template",High,Need content generation,"Explicit recipe poster creation (P1, 4 results). Canva/Pinterest show rich template supply; Curify needs recipe poster templates."
40,bilingual flashcards for kids learning korean fruits,Template / Printable / Worksheet,creative,creator,"Korean fruit flashcard, bilingual kids card, printable educational",High,Need better template routing,"Bilingual printable flashcard (P1, 6 results). Curify has bilingual content but Korean-fruit-specific routing is thin."
41,watercolor map of europe travel destinations,Design & Visual Style,creative,creator,"watercolor map, Europe travel illustration, artistic map poster",High,Need content generation,"Artistic map creation (P1, 2 results). Very thin Curify coverage; watercolor-map specific templates needed."
42,monstera plant care guide infographic,How-to & Craft,creative,creator,"plant care infographic, Monstera guide, care schedule poster",High,Already covered reasonably,Plant care infographic creation. Curify returns full-10; strong how-to/infographic coverage.
43,marvel mbti character chart 16 types,Character & IP & Pop Culture,creative,creator,"Marvel MBTI chart, 16 personality types, character grid poster",High,Need better template routing,"MBTI × Marvel 16-type chart (P1, 7 results). Close to full-10 but specific combined chart routing needs improvement."
44,lunar new year red envelope graphic design,Design & Visual Style,creative,creator,"red envelope design, lunar new year graphic, festive template",High,Need better template routing,"Festive graphic design creation (P1, 4 results). Curify has some New Year content but red-envelope-specific templates need dedicated routing."
45,1950s vintage diner illustration retro poster,Design & Visual Style,creative,creator,"retro poster, vintage diner art, 1950s illustration style",High,Already covered reasonably,Retro poster illustration. Curify returns full-10; strong vintage/retro visual style coverage.
46,before after kitchen organization makeover,How-to & Craft,creative,creator,"kitchen organization, before-after visual, home makeover template",High,Need content generation,"Before-after makeover visual (P1, 3 results). Very thin Curify coverage; before-after home makeover templates needed."
47,phonics worksheets kindergarten,Template / Printable / Worksheet,creative,creator,"phonics worksheet, kindergarten printable, alphabet activity sheet",High,Need content generation,P0 content gap — zero Curify results. Canva/Google show abundant printable worksheets; urgent template inventory gap.
48,Spanish vocabulary printable,Template / Printable / Worksheet,creative,creator,"Spanish word card, vocabulary printable, bilingual sheet",High,Need better template routing,"Spanish printable vocabulary (P1, 6 results). Curify has bilingual content but Spanish-specific printable routing is thin."
49,ESL flashcards printable,Template / Printable / Worksheet,creative,creator,"ESL flashcard, English learner card, printable vocabulary",High,Already covered reasonably,ESL printable flashcard. Curify returns full-10; strong ESL educational template coverage.
50,easy weeknight dinners healthy,Template / Printable / Worksheet,creative,mixed,"weeknight recipe card, healthy meal planner, dinner recipe template",High,Need content generation,P0 content gap — zero Curify results. Recipe card/planner templates urgently needed; all external platforms return rich results.
51,gluten free dinner ideas,Template / Printable / Worksheet,creative,mixed,"gluten-free recipe card, dietary meal planner, dinner idea visual",High,Need content generation,P0 content gap — zero Curify results. Recipe/dietary plan templates needed; high demand on Pinterest and Google.
52,meal prep weekly recipes,Template / Printable / Worksheet,creative,creator,"meal prep planner, weekly recipe visual, food infographic template",High,Need content generation,P0 content gap — zero Curify results. Meal prep planner templates are a clear high-demand gap across all external platforms.
53,cozy reading aesthetic,Food & Lifestyle,consumer,consumer,"reading nook, bookshelf aesthetic, cozy mood board",Low,Weak Curify fit / mostly consumer search,Aesthetic mood browsing. Curify returns full-10 but it is a consumer visual browse query.
54,book lovers gift guide,How-to & Craft,creative,mixed,"gift guide layout, book lover present, reader gift ideas",Medium,Need content generation,"Gift guide visual creation (P1, 2 results). Very thin Curify coverage; gift guide template needed."
55,chiikawa,Character & IP & Pop Culture,consumer,consumer,"Chiikawa character, anime sticker, IP merchandise",Medium,Already covered reasonably,Specific IP fandom browse. Curify returns full-10; character IP templates in place.
56,samurai,Character & IP & Pop Culture,consumer,consumer,"samurai warrior, Japanese period character, sword art",Medium,Need topic/category expansion,"Samurai character browse (P2, 8 results). Curify near full-10; alias or topic slug expansion for samurai/bushido content could close gap."
57,genshin,Character & IP & Pop Culture,consumer,consumer,"Genshin Impact character, game artwork, fan art",Medium,Already covered reasonably,Game IP fandom browse. Curify returns full-10; game character templates covered.
58,maps,Design & Visual Style,consumer,mixed,"map template, world map, illustrated map, cartography",Medium,Already covered reasonably,Map template browse. Curify returns full-10 with 38 intent labels (highest of all queries); strong map template coverage.
